DNPF#,plot,depth,treatment,trt,c_percent,n_percent,CtoN,LFRAC_C%,LFRAC_N%,IFRAC_C%,IFRAC_N%,HFRAC_C%,HFRAC_N%,LF_PROP,IF_PROP,HF_PROP,BULK_C%_CALC_FROM_FRACS
8,8,0-10,Control,CTL,4.17,0.19,22.4,21.26,0.55,2.99,0.19,1.1,0.1,13%,33%,53%,4.45
12,12,0-10,Control,CTL,4.24,0.2,21.3,19.92,0.47,3.69,0.23,1.11,0.09,11%,30%,59%,3.93
14,14,0-10,Control,CTL,3.37,0.13,25.7,22.77,0.55,2.42,0.16,0.77,0.06,10%,26%,64%,3.43
2,2,0-10,Double Litter,DL,3.59,0.18,20.5,31.34,0.86,4.17,0.3,1.22,0.08,7%,31%,61%,4.36
13,13,0-10,Double Litter,DL,4.31,0.2,22.1,22.43,0.55,3.26,0.22,1.1,0.09,13%,29%,59%,4.45
17,17,0-10,Double Litter,DL,6.93,0.28,25.2,23.64,0.64,7.17,0.41,0.99,0.09,13%,18%,69%,4.96
5,5,0-10,Double Wood,DW,3.73,0.16,23.3,23.65,0.53,2.84,0.19,0.89,0.07,12%,22%,65%,4.11
10,10,0-10,Double Wood,DW,6.85,0.23,29.4,17.55,0.48,2.24,0.16,0.56,0.05,39%,28%,33%,7.62
16,16,0-10,Double Wood,DW,7.95,0.27,30,18.54,0.56,4.7,0.27,1.09,0.07,50%,25%,26%,10.69
19,19,0-10,No Input,NI,4.74,0.19,25.2,27.09,0.67,5.8,0.36,1.33,0.09,11%,14%,76%,4.68
20,49,0-10,No Input,NI,3.72,0.16,23.8,28.47,0.52,4.35,0.32,1.43,0.13,7%,19%,74%,4.01
21,69,0-10,No Input,NI,3.97,0.18,22.6,27.15,0.64,6.45,0.4,1.44,0.11,10%,16%,74%,4.84
3,3,0-10,No Litter,NL,5.73,0.21,27.4,32.9,0.78,5.23,0.31,1.03,0.07,11%,26%,63%,5.58
